"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","_sliding_window_pattern","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","architectures","attention_bias","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","batch_size","bf16","bf16_full_eval","bos_token_id","cache_implementation","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","do_eval","do_predict","do_train","dtype","enable_jit_checkpoint","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","head_dim","hidden_activation","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_types","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","metric_for_best_model","model/num_parameters","model_type","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","pad_token_id","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","project","push_to_hub","query_pre_attn_scalar","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.full_attention.rope_theta","rope_parameters.full_attention.rope_type","rope_parameters.sliding_attention.rope_theta","rope_parameters.sliding_attention.rope_type","save_on_each_node","save_only_model","save_steps","save_strategy","seed","skip_memory_metrics","sliding_window","sliding_window_pattern","tie_word_embeddings","torch_compile","trackio_space_id","train_sampling_strategy","transformers_version","use_bidirectional_attention","use_cache","use_cpu","use_liger_kernel","vocab_size","warmup_steps","weight_decay","epoch","eval/aupr","eval/fpr_at_90_recall","eval/fpr_at_95_recall","eval/loss","eval/roc_auc","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval_aupr","eval_fpr_at_90_recall","eval_fpr_at_95_recall","eval_loss","eval_roc_auc","eval_runtime","eval_samples_per_second","eval_steps_per_second","test/aupr","test/fpr_at_90_recall","test/fpr_at_95_recall","test/loss","test/roc_auc","test/runtime","test/samples_per_second","test/steps_per_second","test_aupr","test_fpr_at_90_recall","test_fpr_at_95_recall","test_loss","test_roc_auc","test_runtime","test_samples_per_second","test_steps_per_second","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"final_best_model","finished","-","","","2026-03-01T02:00:28.000Z","2244","","google/gemma-3-1b-it","6","true","false","false","true","0.9","0.999","1e-8","[""Gemma3ForCausalLM""]","false","0","false","true","false","16","true","false","2","hybrid","0","false","0","false","true","1800","[]","false","true","false","false","bfloat16","false","[1,106]","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","1","false","true","256","gelu_pytorch_tanh","1152","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","6912","false","0","1","0","[""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention""]","0.000010546010774033845","length","true","-1","passive","warning","true","false","true","500","steps","linear","1","32768","-1","aupr","999888256","gemma3_text","4","26","1","5","adamw_torch_fused","false","./best_gemma_classifier","false","0","16","16","false","huggingface","false","256","true","[""wandb""]","false","true","0.000001","1000000","default","10000","default","false","false","500","epoch","42","true","512","6","true","false","trackio","random","5.2.0","false","false","false","false","262144","292","0.0425923170338856","5","0.9403645661041028","1","1","0.9652715921401978","0.9428247774792892","11.6252","134.708","8.43","0.9403645661041028","1","1","0.9652715921401978","0.9428247774792892","11.6252","134.708","8.43","0.98239251452458","1","1","0.423446923494339","0.982113742616388","18.1527","208.234","13.056","0.98239251452458","1","1","0.423446923494339","0.982113742616388","18.1527","208.234","13.056","162310413274116100","5","4425","478","0.0000010870071593850514","0.04386807250976563","0.231759781487244","2186.3533","32.355","2.024"
"trial_2","finished","-","","","2026-03-01T01:23:17.000Z","2225","","google/gemma-3-1b-it","6","true","false","false","true","0.9","0.999","1e-8","[""Gemma3ForCausalLM""]","false","0","false","true","false","","true","false","2","hybrid","0","false","0","false","true","1800","[]","false","true","false","false","bfloat16","false","[1,106]","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","256","gelu_pytorch_tanh","1152","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","6912","false","0","1","0","[""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention""]","0.000001942734664401906","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","32768","-1","","999888256","gemma3_text","4","26","1","3","adamw_torch_fused","false","./temp_gemma_results_trial_2","false","0","4","4","false","huggingface","false","256","true","[""wandb""]","false","true","0.000001","1000000","default","10000","default","false","false","500","no","42","true","512","6","true","false","trackio","random","5.2.0","false","false","false","false","262144","286","0.041475618460538655","3","0.7628615177364704","1","1","0.5818885564804077","0.8040031708283789","24.9752","62.702","15.696","0.7628615177364704","1","1","0.5818885564804077","0.8040031708283789","24.9752","62.702","15.696","","","","","","","","","","","","","","","","","58752819770305540","3","2655","122.5","4.920391720730872e-9","1.829450798034668","2.3368356381432487","2178.7439","19.481","1.219"
"trial_1","finished","-","","","2026-03-01T00:46:24.000Z","2208","","google/gemma-3-1b-it","6","true","false","false","true","0.9","0.999","1e-8","[""Gemma3ForCausalLM""]","false","0","false","true","false","","true","false","2","hybrid","0","false","0","false","true","1800","[]","false","true","false","false","bfloat16","false","[1,106]","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","4","false","","256","gelu_pytorch_tanh","1152","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","6912","false","0","1","0","[""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention""]","0.000010546010774033845","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","32768","-1","","999888256","gemma3_text","4","26","1","3","adamw_torch_fused","false","./temp_gemma_results_trial_1","false","0","4","4","false","huggingface","false","256","true","[""wandb""]","false","true","0.000001","1000000","default","10000","default","false","false","500","no","42","true","512","6","true","false","trackio","random","5.2.0","false","false","false","false","262144","292","0.0425923170338856","3","0.928501516665849","1","1","0.4557660520076752","0.9306258960770786","25.0451","62.527","15.652","0.928501516665849","1","1","0.4557660520076752","0.9306258960770786","25.0451","62.527","15.652","","","","","","","","","","","","","","","","","58752819770305540","3","2655","59.25","2.6777852155820173e-8","0.6241605281829834","1.355416558781137","2161.9258","19.632","1.228"
"trial_0","finished","-","","","2026-02-28T23:37:16.000Z","4143","","google/gemma-3-1b-it","6","true","false","false","true","0.9","0.999","1e-8","[""Gemma3ForCausalLM""]","false","0","false","true","false","","true","false","2","hybrid","0","false","0","false","true","1800","[]","false","true","false","false","bfloat16","false","[1,106]","0","true","false","epoch","false","false","false","[]","0","false","false","false","false","2","false","","256","gelu_pytorch_tanh","1152","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","6912","false","0","1","0","[""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""sliding_attention"",""full_attention"",""sliding_attention"",""sliding_attention""]","0.0000023953187174044847","length","false","-1","passive","warning","true","false","true","10","steps","linear","1","32768","-1","","999888256","gemma3_text","4","26","1","3","adamw_torch_fused","false","./temp_gemma_results_trial_0","false","0","2","2","false","huggingface","false","256","true","[""wandb""]","false","true","0.000001","1000000","default","10000","default","false","false","500","no","42","true","512","6","true","false","trackio","random","5.2.0","false","false","false","false","262144","263","0.0325723159842623","3","0.8541891106517048","1","1","0.5678876042366028","0.8476730132166782","48.8568","32.053","16.026","0.8541891106517048","1","1","0.5678876042366028","0.8476730132166782","48.8568","32.053","16.026","","","","","","","","","","","","","","","","","42046229936620030","3","10611","92.5","4.6295297978439974e-10","1.3727415084838868","1.0231800046428616","4060.9211","10.452","2.613"
